teamup_id,name,effect_logodds,effect_pp,std_error
1024001,HEL TENDRILS,0.11094724021119771,2.773681005279943,0.029696466429652856
1038001,SORCERERS SUPREME,0.09773750236004475,2.4434375590011186,0.028724613802017074
1049002,PAIR OF THREES,0.09468586938484712,2.367146734621178,0.028052777571553715
1029001,CHAIN OF CYTTORAK,0.09273005246145466,2.3182513115363665,0.020423959137566613
1050001,UNITED SIBLINGS,0.0918985852311867,2.2974646307796673,0.02859626028687375
1036002,PARKER POWER-UP,0.09175406370033397,2.293851592508349,0.046127657189395786
1047001,GUARDIAN OF THE DEEP,0.08681381206469041,2.1703453016172602,0.032495960482752974
1060001,LUCKY LOAN,0.08651906332709548,2.1629765831773873,0.030720912739753827
1023002,MAMMALIAN BOND,0.0860245011302312,2.15061252825578,0.032287598798803246
1028001,STARK PROTOCOL,0.08443663377563827,2.110915844390957,0.04709768630249853
1055002,DEVILISH AFFAIR,0.08225102118315265,2.056275529578816,0.0407275051053522
1039001,RAGNAROK REBIRTH,0.0807122781799823,2.017806954499558,0.028586680181524552
1053002,SPIRIT BREAKER,0.07877104368276429,1.9692760920691073,0.01777915096531458
1021001,MOONLIT SLASH,0.078266728187788,1.9566682046947,0.029949060813939294
1065002,EXPLOSIVE ENTANGLEMENT,0.07715001839992053,1.9287504599980132,0.02636020460203232
1058001,FAVORABLE ODDS,0.07667732640395736,1.9169331600989339,0.013537015115313147
1046001,COSMIC CYCLONE,0.075183726972851,1.879593174321275,0.06194938683478443
1014002,BESTIAL HUNT,0.07343171705807058,1.8357929264517645,0.04479419843623823
1054001,CIRCLE OF LIFE,0.07262242319456977,1.8155605798642442,0.040089057717979215
1011001,SAVAGE SLAM,0.07204422148638627,1.8011055371596567,0.05982342012650517
1022002,STARS ALIGNED,0.06828646096754223,1.7071615241885558,0.03721030007228933
1062002,SURF & TURF,0.06444005314597591,1.6110013286493978,0.03537062906365142
1035001,BLOOD LEECH,0.06433084100491851,1.6082710251229628,0.041104341626881084
1025002,FROZEN HAVEN,0.06374209144751544,1.5935522861878861,0.014728139576947798
1049001,BLAST SLASH,0.06002695248318745,1.5006738120796863,0.04577597473058448
1016002,VILLAIN'S ILLUSION,0.057940144029932396,1.4485036007483099,0.036741869057648265
1042001,VIBRANIUM MECH,0.057421453332797676,1.4355363333199418,0.07341283987824654
1039002,DIVINE ARMORY,0.054457245166397036,1.361431129159926,0.053769590635954496
1053001,ICED OUT DIAMOND,0.053682402426308375,1.3420600606577093,0.015589926025726489
1023001,PLANET X PALS,0.051444392690156375,1.2861098172539094,0.027290006345280258
1034001,GAMMA CHARGE,0.04807013905455961,1.2017534763639903,0.044177455484824525
1051002,UNBREAKABLE FORCES,0.04764618400624343,1.1911546001560858,0.01612909462159505
1059001,PREHISTORIC TRAP,0.04599355072726421,1.1498387681816051,0.0312614916386505
1036001,SYMBIOTE BOND,0.04597810463206905,1.1494526158017262,0.023804771966469393
1037002,MAGNETIC RESONANCE,0.03139054669344808,0.7847636673362021,0.014494322258812201
1031002,DUALITY DANCE,0.030511053377099393,0.7627763344274848,0.036272398394054446
1027002,BUBBLE BUDDIES,0.0293198361510699,0.7329959037767475,0.043996994324892215
1048001,LIGHT & DARK DARTS,0.026700554417797426,0.6675138604449357,0.027477915429002416
1052002,IRON & STONE,0.021759954811855955,0.5439988702963989,0.02395610334337579
1054002,TELEKINETIC BEATDOWN,0.017463229265139976,0.4365807316284994,0.056698313891306834
1050002,FIRST FAMILY,0.01670365055262409,0.41759126381560224,0.028120234154486317
1030002,BLOOD MOON,0.01641842002478169,0.41046050061954226,0.046067485305389524
1062001,PRIMAL PUNISHMENT,0.014271806165316503,0.3567951541329126,0.03489540709886077
1061001,FELINE ALLIANCE,0.013824995053321056,0.3456248763330264,0.06610533428987006
1022001,VOLTAIC UNION,0.013757328806050151,0.34393322015125377,0.0638162163477267
1048002,MENTAL PROJECTION,0.012829827757381227,0.3207456939345307,0.03241784009430601
1037001,METALLIC CHAOS,0.011277902990943355,0.28194757477358384,0.023977352542838375
1051001,TWO-IN-ONE,0.010951304927030427,0.2737826231757607,0.030313039118370678
1045001,CHILLING CHARISMA,0.00861302679891259,0.21532566997281474,0.02007370422183007
1056002,ASGARDIANS OF THE GALAXY,0.004727501156615499,0.11818752891538746,0.05349609155298533
1058002,SPARKLING STAFF,0.0036517136630053438,0.0912928415751336,0.01607750118825325
1011002,GAMMA FASTBALL,-0.01038966069176897,-0.25974151729422423,0.04385663543877352
1041001,TIMELESS VETERANS,-0.019270826315250438,-0.48177065788126094,0.02377077926885665
1026002,DIMENSIONAL SHORTCUT,-0.023888696976638108,-0.5972174244159527,0.04416679058655386
1063002,KINETIC KIN,-0.02426708656942771,-0.6066771642356927,0.020456871265850645
1064002,VAMPIRIC KIN,-0.02536221068791849,-0.6340552671979622,0.026952951088760287
1040002,CLOBBERIN' RESEARCH DEPT.,-0.04220843724801988,-1.055210931200497,0.032910858479999486
1017002,STORMING IGNITION,-0.06283594016225805,-1.5708985040564512,0.06700322428867866
1055001,COMPREHENSIVE DEFENSE,-0.07279469932771283,-1.8198674831928208,0.04198418815708673
1015001,GODS OF THUNDER,-0.0778360599024839,-1.9459014975620976,0.04172384691945797
1061002,BINDING TIES,-0.11456280138887573,-2.8640700347218933,0.036498055405538445
1033001,ALLIED AGENTS,-0.12487008736702317,-3.121752184175579,0.06442641067744934
