hero_id,name,role,effect_logodds,effect_pp,std_error,ci_low_pp,ci_high_pp,p_adjusted,within_role_logodds,within_role_pp,within_role_se,within_role_ci_low_pp,within_role_ci_high_pp,n_start,pick_pct,raw_wr
1056,Angela,Tank,0.2086967643994232,5.217419109985581,0.0306122422243705,3.7174192409914255,6.717418978979736,4.248000099830544e-11,0.0751307960407878,1.8782699010196968,0.0104341296583693,1.366997547759599,2.3895422542797946,45696,0.7884132785939135,51.844070077369345
1042,Peni Parker,Tank,0.1888046125407529,4.720115313518824,0.0317040998731934,3.1666144197323427,6.273616207305305,8.928428413268463e-09,0.0552386441821175,1.380966104552939,0.0131016250040607,0.738986479353965,2.0229457297519136,43799,0.755683499412089,54.57882788728325
1034,Iron Man,Damage,-0.0297427409711224,-0.7435685242780614,0.0205878305550607,-1.7523722214760389,0.265235172919916,0.1634038615736667,0.0537917588494357,1.3447939712358925,0.0111728780932763,0.7973229446653518,1.892264997806433,50391,0.8694181880607907,51.50684198669431
1011,Hulk,Tank,0.1873553943322738,4.683884858306847,0.0300144280871184,3.213177882038043,6.154591834575651,1.825662185530938e-09,0.0537894259736385,1.3447356493409626,0.0087458270876279,0.9161901220471949,1.7732811766347307,81337,1.4033431994264955,52.30616764466241
1052,Iron Fist,Damage,-0.0305659709274465,-0.7641492731861624,0.0194409299458855,-1.716754840534552,0.1884562941622271,0.1300839297636312,0.0529685288931116,1.324213222327791,0.0089666874948601,0.8848455350796427,1.7635809095759396,85109,1.468423182069533,52.12757598432592
1039,Thor,Tank,0.1855630732611904,4.639076831529762,0.0300355954730728,3.1673326533491912,6.110821009710332,2.548677063047526e-09,0.051997104902555,1.2999276225638772,0.0087456282136664,0.8713918400942198,1.7284634050335348,80452,1.3880739033928031,50.418422137471616
1016,Loki,Support,0.0664409659755062,1.6610241493876556,0.0277453145411817,0.3015037368697508,3.0205445619055604,0.0228733680677168,0.0470608144543108,1.1765203613577722,0.0107075901253719,0.6518484452145481,1.7011922775009962,48317,0.8336345496722277,51.34384512171798
1024,Hela,Damage,-0.0380101114300843,-0.9502527857521093,0.0189845526290465,-1.8804958645753895,-0.0200097069288288,0.0565844109903979,0.0455243883904737,1.1381097097618444,0.0079535696662306,0.7483847961165425,1.5278346234071465,110771,1.9111810067210784,49.76036681322835
1041,Winter Soldier,Damage,-0.04372334894284,-1.0930837235710018,0.0180880668421101,-1.9793989988344007,-0.2067684483076023,0.0220540763883408,0.039811150877718,0.9952787719429516,0.0056247888908589,0.7196641162908625,1.270893427595041,228817,3.947880802871663,49.2621861572434
1049,Wolverine,Damage,-0.0504321790097485,-1.2608044752437144,0.0214547957043529,-2.3120894647570074,-0.2095194857304215,0.025141588960074,0.0331023208108095,0.8275580202702394,0.0126754542356254,0.2064607627245918,1.448655277815887,42210,0.7282677803188263,49.31935269603848
