kind,hero_a,hero_b,role_a,role_b,n_cooccur,effect_pp,se_pp,z,p_raw,is_teamup,q
counter,Doctor Strange,Blade,Tank,Damage,6641,-1.4901962399729474,0.7748679176444822,-1.9231616202448913,0.05445975559645527,False,0.2980354710033336
counter,Human Torch,Devil Dinosaur,Damage,Tank,3726,1.486244833194721,0.9682263158860853,1.535018010571799,0.12477940405166123,False,0.4343475290137763
counter,Mantis,Jeff The Land Shark,Support,Support,10606,-1.4856943975719947,0.8033567632014214,-1.8493581751293409,0.06440611058365031,False,0.3134082338543146
counter,Iron Man,Star-lord,Damage,Damage,2732,-1.4836069073309086,1.0492805847691715,-1.4139277223520565,0.157383125294965,False,0.47732252538890146
counter,Thor,Phoenix,Tank,Damage,3727,-1.4836020816888715,0.9544207488165382,-1.554452879957301,0.12007642800977468,False,0.4229490057839233
counter,Scarlet Witch,Iron Fist,Damage,Damage,3861,1.481766242583699,0.9029268953141217,1.6410700027583112,0.10078288476105772,False,0.3924316875429297
counter,Jeff The Land Shark,White Fox,Support,Support,7997,1.4802492105784644,0.8821550450946571,1.6779921157959603,0.09334863817083083,False,0.37448726249468756
counter,Loki,Daredevil,Support,Damage,3860,1.479560876522338,0.9928661215395864,1.4901917231580617,0.1361738320483575,False,0.45121688271272054
counter,Thor,The Thing,Tank,Tank,9918,-1.4773789583715173,0.7027179761562984,-2.1023782064782686,0.03552015871490223,False,0.23869148671442703
counter,Thor,Iron Fist,Tank,Damage,6853,-1.4751127370963708,0.7570955683610716,-1.948383795575019,0.051369057286909235,False,0.2920245697424058
counter,Star-lord,Jubilee,Damage,Support,15508,-1.4749738982384424,0.6845753520021218,-2.1545822441966487,0.031194539721369523,False,0.22405898440588468
counter,Ultron,Devil Dinosaur,Support,Tank,2838,-1.4717477850121279,1.122076590950314,-1.3116286329132567,0.18964546718673103,False,0.5202866950690025
counter,Magneto,Elsa Bloodstone,Tank,Damage,35940,1.4639918100966218,0.5033750675531251,2.908351852254016,0.003633392838345753,False,0.059702119309530566
counter,Hawkeye,Thor,Damage,Tank,3291,1.4635760495549452,0.9760034843760211,1.499560271027761,0.1337283453863506,False,0.4486913294851119
counter,Mantis,Star-lord,Support,Damage,8158,1.4608680434492092,0.7771366519257669,1.8798084478825394,0.060134188712196085,True,0.30957493287673477
counter,Iron Man,Emma Frost,Damage,Tank,8638,1.4581449421133117,0.6988955158889089,2.0863561275804314,0.03694637595774475,False,0.24283385184282097
counter,Winter Soldier,Invisible Woman,Damage,Support,55369,-1.455009456503261,0.4455809574037099,-3.2654210920081534,0.0010930145424606578,False,0.02764701877329366
counter,Storm,Elsa Bloodstone,Damage,Damage,4090,1.45432093084161,0.8885370065607459,1.6367589870801669,0.10168083836740753,False,0.3932168375939791
counter,The Thing,Deadpool (Vanguard),Tank,Tank,5070,1.4440533418010855,0.8591571090313277,1.6807791341320677,0.09280582303926417,False,0.37355900917985696
counter,Storm,Magneto,Damage,Tank,18771,-1.4411807179584637,0.5963282354387831,-2.4167574706537773,0.015659447059294805,False,0.15599591434002127
counter,Scarlet Witch,Invisible Woman,Damage,Support,10200,-1.4410650552197,0.7262816206550641,-1.9841684192971072,0.04723706785906953,False,0.2790670191266489
counter,Human Torch,Cyclops,Damage,Damage,5959,-1.4347930300082226,0.7617304926921517,-1.8835966838314357,0.059619550767034894,False,0.30957493287673477
counter,Loki,Jeff The Land Shark,Support,Support,3467,-1.4345969007649224,1.084091521424261,-1.3233171484268906,0.18572993127677184,False,0.515105323853151
counter,Phoenix,Deadpool (Strategist),Damage,Support,2806,1.4345207449740116,1.0946563658313753,1.3104758623355872,0.19003490461691264,False,0.5202866950690025
counter,Magneto,Emma Frost,Tank,Tank,61717,-1.431781523151428,0.407180409497428,-3.516332047798267,0.00043755339184356826,True,0.014995579814753145
counter,Jeff The Land Shark,Cyclops,Support,Damage,8129,1.4311402469889016,0.7612928130904069,1.8798814626652036,0.060124234835998776,False,0.30957493287673477
counter,Thor,White Fox,Tank,Support,8409,-1.4284462985513198,0.8269762187546948,-1.7273124258667931,0.08411156876562643,False,0.3563406361662988
counter,Hulk,Namor,Tank,Damage,6220,1.4271853834781478,0.7927139273067614,1.8003788432568577,0.07180083914842875,True,0.33125040984053955
counter,The Hood,Deadpool (Strategist),Tank,Support,25066,-1.4261708466164034,0.6162300102589281,-2.3143482512595477,0.020648627036177623,False,0.17754858874476745
counter,Thor,Black Cat,Tank,Damage,5761,1.4236927846599012,0.8214480373540892,1.7331501445248587,0.08306898564038119,False,0.3558616009844187
counter,Doctor Strange,White Fox,Tank,Support,13761,-1.4211177175985352,0.6978171007217187,-2.036518904636676,0.04169827675308325,False,0.2602356329550243
counter,Hawkeye,Invisible Woman,Damage,Support,9138,-1.4198109287310245,0.7273249479218518,-1.9520998596126498,0.05092634991131271,False,0.29021777872119725
counter,Thor,Jubilee,Tank,Support,23736,-1.4197435134629743,0.6709690408369212,-2.1159597940496373,0.03434822722145965,False,0.23409487813716393
counter,Daredevil,Devil Dinosaur,Damage,Tank,5001,1.4180898363252739,0.8594193582684141,1.6500557296992786,0.09893153820436427,False,0.38717252879652514
counter,White Fox,Devil Dinosaur,Support,Tank,7767,1.417642979816194,0.8745547441170353,1.620988267861344,0.10502015484712722,False,0.39879848631728276
counter,Hulk,Groot,Tank,Tank,5112,-1.4157208883218422,0.895711269211571,-1.5805549589300105,0.11397983126177154,False,0.41625092023702237
counter,Gambit,Devil Dinosaur,Support,Tank,13963,-1.4092672963771984,0.77534623234839,-1.8175974004655584,0.06912568924903469,False,0.324525496102611
counter,Psylocke,The Thing,Damage,Tank,5864,1.4076612321183164,0.7978757624636386,1.7642611774191692,0.07768801699105751,False,0.34840887896139394
counter,Black Panther,Star-lord,Damage,Damage,3364,-1.4057931863100437,0.9595150620243081,-1.4651079925146913,0.1428914564125706,False,0.461990032255737
counter,Groot,Namor,Tank,Damage,4505,1.403294281742809,0.9014662689555518,1.5566797450654257,0.11954653995930228,False,0.4224052136226068
counter,Human Torch,Magik,Damage,Damage,8760,1.395819698881127,0.6526762594554031,2.1386095765851927,0.03246730126686923,False,0.22841365319419146
